Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Stripped Sales,,No errors,Number Conversion,Total
MagiCard,2600_b,"CommaVid, Inc.","CommaVid, Inc.",,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Marauder,2600_b,Tigervision,Tigervision,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Math Gran Prix,2600_b,Atari,Atari,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Megaforce,2600_b,20th Century Fox Video Games,20th Century Fox Video Games,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Mines of Minos,2600_b,"CommaVid, Inc.","CommaVid, Inc.",,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Missile Command,5200_b,Atari,Atari,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Mogul Maniac,2600_b,Unknown,Amiga,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Octopus,2600_b,Unknown,Carrere Video,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Pac-Man,5200_b,Atari,Atari,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Phaser Patrol,2600_b,Unknown,Arcadia,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Picnic,2600_b,US Games,US Games,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Piece O'Cake,2600_b,US Games,US Games,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Pooyan,2600_b,Konami,Konami,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Qix,5200_b,Atari,Atari,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Raft Rider,2600_b,US Games,US Games,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Ram It,2600_b,Unknown,Telesys,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Rescue Terra I,2600_b,Unknown,Venture Vision,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Riddle of The Sphinx,2600_b,Imagic,Imagic,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Robot Commando Raid,2600_b,Vidtec,Vidtec,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Room of Doom,2600_b,"CommaVid, Inc.","CommaVid, Inc.",,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Sea Hawk,2600_b,Unknown,Froggo,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Shootin' Gallery,2600_b,Imagic,Imagic,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Sky Jinks,2600_b,Activision,Activision,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Sneak 'N Peek,2600_b,Vidtec,US Games,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Space Attack,2600_b,Mattel Interactive,Mattel,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Space Canyon,2600_b,Apollo,Apollo,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Space Invaders,5200_b,Atari,Atari,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Space Jockey,2600_b,US Games,US Games,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Springer,2600_b,Tigervision,Tigervision,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Squeeze Box,2600_b,US Games,US Games,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Sssnake,2600_b,Data Age,Data Age,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Star Raiders,2600_b,Atari,Atari,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Star Raiders,5200_b,Atari,Atari,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Star Strike,2600_b,Mattel Interactive,Mattel Interactive,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
